Album,Artist,Week,Rank
Forever Changes,Love,10,171
Johnny's Greatest Hits,Johnny Mathis,10,172
Temptations Live!,The Temptations,10,173
Glory Of Love,Herbie Mann,10,174
The Mamas & The Papas,The Mamas & The Papas,10,175
Reach Out,Burt Bacharach,10,176
Heads Up!,Baja Marimba Band,10,177
For A Few Dollars More And Other Motion Picture Themes,L,10,178
Greatest Hits,The Righteous Brothers,10,179
Something Special! The Best Of Tommy James & The Shondells,Tommy James,10,180
Golden Hits,Roger Williams,10,181
Ode To Billie Joe,Bobbie Gentry,10,182
The Mystic Moods Of Love,The Mystic Moods,10,183
What The World Needs Now Is Love!,Jack Jones,10,184
The Look Of Love,Claudine Longet,10,185
"Time, Time",Ed Ames,10,186
Something Else Again,Richie Havens,10,187
Live For Life,Soundtrack,10,188
To Sir With Love,Lulu,10,189
Feelin' Good,Lou Rawls,10,190
We Can Fly,The Cowsills,10,191
Look Around,Sergio Mendes,10,192
The New Born Free,The Hesitations,10,193
Family Portrait,Various Artists,10,194
Somewhere My Love,Ray Conniff,10,195
Orpheus,Orpheus,10,196
Eden's Children,Eden's Children,10,197
A Scratch In The Sky,The Cryan' Shames,10,198
Up Pops Ramsey Lewis,Ramsey Lewis,10,199
Tell Mama,Etta James,10,200
Blooming Hits,Paul Mauriat And His Orchestra,11,1
Aretha: Lady Soul,Aretha Franklin,11,2
Axis: Bold As Love,The Jimi Hendrix Experience,11,3
Magical Mystery Tour (Soundtrack),The Beatles,11,4
John Wesley Harding,Bob Dylan,11,5
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,11,6
Disraeli Gears,Cream,11,7
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,11,8
History Of Otis Redding,Otis Redding,11,9
"The Lettermen!!!...And ""Live!""",The Lettermen,11,10
Once Upon A Dream,The Rascals,11,11
Horizontal,Bee Gees,11,12
The Temptations In A Mellow Mood,The Temptations,11,13
Valley Of The Dolls,Dionne Warwick,11,14
Valley Of The Dolls,Soundtrack,11,15
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,11,16
Doctor Zhivago,Soundtrack,11,17
"Greatest Hits, Vol. 2",The Miracles,11,18
Are You Experienced?,Jimi Hendrix,11,19
Jungle Book,Soundtrack,11,20
The Beat Goes On,Vanilla Fudge,11,21
The Sound Of Music,Soundtrack,11,22
Camelot,Soundtrack,11,23
Wild Honey,The Beach Boys,11,24
Their Satanic Majesties Request,The Rolling Stones,11,25
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,11,26
The Temptations Greatest Hits,The Temptations,11,27
The Turtles! Golden Hits,The Turtles,11,28
A Day In The Life,Wes Montgomery,11,29
Alice's Restaurant,Soundtrack,11,30
Farewell To The First Golden Era,The Mamas & The Papas,11,31
"The Good, The Bad And The Ugly",Soundtrack,11,32
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,11,33
The Four Tops Greatest Hits,Four Tops,11,34
The Last Waltz,Engelbert Humperdinck,11,35
The Best Of Wilson Pickett,Wilson Pickett,11,36
Movin' With Nancy,Nancy Sinatra,11,37
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,11,38
Cowboys & Colored People,FLiP,11,39
Headquarters,The Monkees,11,40
It Must Be Him,Vikki Carr,11,41
A Gift From A Flower To A Garden,Donovan,11,42
Please Love Me Forever,Bobby Vinton,11,43
When The Snow Is On The Roses,Ed Ames,11,44
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,11,45
Vanilla Fudge,Vanilla Fudge,11,46
Sounds Like...,Herb Alpert & The Tijuana Brass,11,47
A Man And A Woman,Soundtrack,11,48
It Must Be Him,Ray Conniff,11,49
Who Will Answer? And Other Songs Of Our Time,Ed Ames,11,50
The Doors,The Doors,11,51
Wildflowers,Judy Collins,11,52
"Woman, Woman",Gary Puckett And The Union Gap,11,53
The Notorious Byrd Brothers,The Byrds,11,54
"$1,000,000.00 Weekend",The Ventures,11,55
!!Going Places!!,Herb Alpert & The Tijuana Brass,11,56
After Bathing At Baxter's,Jefferson Airplane,11,57
The Resurrection Of Pigboy Crabshaw,The Paul Butterfield Blues Band,11,58
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,11,59
"Up, Up And Away",Johnny Mathis,11,60
The Best Of Wes Montgomery,Wes Montgomery,11,61
Portraits,The Buckinghams,11,62
The Monkees,The Monkees,11,63
Strange Days,The Doors,11,64
Release Me,Engelbert Humperdinck,11,65
By The Time I Get To Phoenix,Glen Campbell,11,66
Nobody But Me,The Human Beinz,11,67
Groovin' With The Soulful Strings,The Soulful Strings,11,68
The Sea,San Sebastian,11,69
Wear Your Love Like Heaven,Donovan,11,70
I Never Loved A Man The Way I Love You,Aretha Franklin,11,71
Welcome To My World,Dean Martin,11,72
Gone With The Wind,Soundtrack,11,73
Revenge,Bill Cosby,11,74
More Of The Monkees,The Monkees,11,75
Music From Mission: Impossible,Lalo Schifrin,11,76
I Started Out As A Child,Bill Cosby,11,77
Born Free,Andy Williams,11,78
Ultimate Spinach,Ultimate,11,79
Francis A. & Edward K.,Frank Sinatra,11,80
Vincebus Eruptum,Blue Cheer,11,81
My Cup Runneth Over,Ed Ames,11,82
What Now My Love,Herb Alpert & The Tijuana Brass,11,83
Bill Cosby Sings/Hooray For The Salvation Army Band!,Bill Cosby,11,84
Man Of La Mancha,Original Cast,11,85
Sounds Of Silence,Simon & Garfunkel,11,86
Camelot,Original Cast Recording,11,87
The Sky,San Sebastian,11,88
Otis Redding Live In Europe,Otis Redding,11,89
I'm In Love,Wilson Pickett,11,90
Bob Dylan's Greatest Hits,Bob Dylan,11,91
Wonderfulness,Bill Cosby,11,92
The Time Has Come,The Chambers Brothers,11,93
"Elvis' Gold Records, Volume 4",Elvis Presley,11,94
The Mantovani Touch,Mantovani,11,95
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,11,96
The Other Man's Grass Is Always Greener,Petula Clark,11,97
Sergio Mendes & Brasil '66,Sergio Mendes,11,98
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",11,99
Live And Lively,Joe Tex,11,100
We're A Winner,The Impressions,11,101
Fiddler On The Roof,Original Cast,11,102
"Love, Andy",Andy Williams,11,103
The Mamas & The Papas Deliver,The Mamas & The Papas,11,104
The Magic Garden,The 5th Dimension,11,105
Doctor Dolittle,Soundtrack,11,106
The Who Sell Out,The Who,11,107
Tell Mama,Etta James,11,108
Insight Out,The Association,11,109
The Best Of The Animals,The Animals,11,110
Fresh Cream,Cream,11,111
Goin' To Memphis,Paul Revere & The Raiders,11,112
We Can Fly,The Cowsills,11,113
The Graduate,Soundtrack,11,114
United,Tammi Terrell,11,115
Aretha Arrives,Aretha Franklin,11,116
Bee Gees' 1st,Bee Gees,11,117
Claudine,Claudine Longet,11,118
Greatest Hits,Paul Revere & The Raiders,11,119
Why Is There Air?,Bill Cosby,11,120
The Best Of Sonny & Cher,Sonny & Cher,11,121
South Of The Border,Herb Alpert & The Tijuana Brass,11,122
Super Hits,Various Artists,11,123
SRO,Herb Alpert & The Tijuana Brass,11,124
Fortuosity,The Mills Brothers,11,125
Two Sides Of Leonard Nimoy,Leonard Nimoy,11,126
Green Tambourine,The Lemon Pipers,11,127
Wave,Antonio Carlos Jobim,11,128
Get That Feeling,Jimi Hendrix,11,129
The Eyes Of The Beacon Street Union,B,11,130
The First Edition,Kenny Rogers,11,131
Incense And Peppermints,Strawberry Alarm Clock,11,132
Ravi Shankar At The Monterey International Pop Festival,Ravi Shankar,11,133
Simply Streisand,Barbra Streisand,11,134
The Byrds' Greatest Hits,The Byrds,11,135
Mass In F Minor,The Electric Prunes,11,136
Surrealistic Pillow,Jefferson Airplane,11,137
A Man And His Soul,Ray Charles,11,138
Boogie With Canned Heat,Canned Heat,11,139
Songs Of Leonard Cohen,Leonard Cohen,11,140
Spooky,Classics IV,11,141
John Mayall's Blues Breakers Crusade,John Mayall,11,142
Groovin',The Rascals,11,143
Lonely Bull,Herb Alpert & The Tijuana Brass,11,144
Here Where There Is Love,Dionne Warwick,11,145
"Up, Up And Away",The 5th Dimension,11,146
"Bend Me, Shape Me",The American Breed,11,147
Everybody Needs Love,Gladys Knight And The Pips,11,148
Welcome To My Love,Nancy Wilson,11,149
The Drifters' Golden Hits,The Drifters,11,150
The Everlovin' World Of Eddy Arnold,Eddy Arnold,11,151
Four Tops Reach Out,Four Tops,11,152
Al Hirt Plays Bert Kaempfert,Al Hirt,11,153
With A Lot O' Soul,The Temptations,11,154
Agnes English,John Fred And The Playboys,11,155
Steppenwolf,Steppenwolf,11,156
The Windows Of The World,Dionne Warwick,11,157
This Is My Song,Ray Conniff,11,158
Heavy,Iron Butterfly,11,159
Johnny's Greatest Hits,Johnny Mathis,11,160
Flowers,The Rolling Stones,11,161
Glory Of Love,Herbie Mann,11,162
Born Free,Roger Williams,11,163
Golden Greats By The Ventures,The Ventures,11,164
All Mitch Ryder Hits!,Mitch Ryder And The Detroit Wheels,11,165
Pata Pata,Miriam Makeba,11,166
Collections,The Rascals,11,167
More Than A Miracle,Roger Williams,11,168
Fowl Play,Baja Marimba Band,11,169
King Size Soul,King Curtis,11,170
Look Around,Sergio Mendes,11,171
Golden Hits,Roger Williams,11,172
Willie Mitchell Live,Willie Mitchell,11,173
Something Special! The Best Of Tommy James & The Shondells,Tommy James,11,174
What The World Needs Now Is Love!,Jack Jones,11,175
Reach Out,Burt Bacharach,11,176
The Rose Garden,The Rose Garden,11,177
Jerry Butler's Golden Hits Live,Jerry Butler,11,178
Greatest Hits,The Righteous Brothers,11,179
Up Pops Ramsey Lewis,Ramsey Lewis,11,180
The Look Of Love,Claudine Longet,11,181
The Mystic Moods Of Love,The Mystic Moods,11,182
Ode To Billie Joe,Bobbie Gentry,11,183
Something Else Again,Richie Havens,11,184
There Are But Four Small Faces,Small Faces,11,185
Temptations Live!,The Temptations,11,186
For A Few Dollars More And Other Motion Picture Themes,L,11,187
Feelin' Good,Lou Rawls,11,188
To Sir With Love,Lulu,11,189
We're Only In It For The Money,Mothers Of Invention,11,190
"Time, Time",Ed Ames,11,191
Turn The World Around,Eddy Arnold,11,192
This Is Soul,Various Artists,11,193
Orpheus,Orpheus,11,194
A Scratch In The Sky,The Cryan' Shames,11,195
Eden's Children,Eden's Children,11,196
Somewhere My Love,Ray Conniff,11,197
You Don't Have To Say You Love Me,Jerry Vale,11,198
Rotary Connection,Rotary Connection,11,199
White Light/White Heat,The Velvet Underground,11,200
Blooming Hits,Paul Mauriat And His Orchestra,12,1
Aretha: Lady Soul,Aretha Franklin,12,2
Axis: Bold As Love,The Jimi Hendrix Experience,12,3
The Graduate,Soundtrack,12,4
John Wesley Harding,Bob Dylan,12,5
Magical Mystery Tour (Soundtrack),The Beatles,12,6
"Greatest Hits, Vol. 2",The Miracles,12,7
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,12,8
History Of Otis Redding,Otis Redding,12,9
"The Lettermen!!!...And ""Live!""",The Lettermen,12,10
Once Upon A Dream,The Rascals,12,11
Valley Of The Dolls,Dionne Warwick,12,12
Valley Of The Dolls,Soundtrack,12,13
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,12,14
The Temptations In A Mellow Mood,The Temptations,12,15
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,12,16
Disraeli Gears,Cream,12,17
Horizontal,Bee Gees,12,18
Are You Experienced?,Jimi Hendrix,12,19
Jungle Book,Soundtrack,12,20
The Beat Goes On,Vanilla Fudge,12,21
Doctor Zhivago,Soundtrack,12,22
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,12,23
The Sound Of Music,Soundtrack,12,24
The Temptations Greatest Hits,The Temptations,12,25
Camelot,Soundtrack,12,26
"The Good, The Bad And The Ugly",Soundtrack,12,27
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,12,28
A Day In The Life,Wes Montgomery,12,29
Wild Honey,The Beach Boys,12,30
The Turtles! Golden Hits,The Turtles,12,31
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,12,32
Who Will Answer? And Other Songs Of Our Time,Ed Ames,12,33
Farewell To The First Golden Era,The Mamas & The Papas,12,34
Sounds Like...,Herb Alpert & The Tijuana Brass,12,35
Alice's Restaurant,Soundtrack,12,36
Movin' With Nancy,Nancy Sinatra,12,37
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,12,38
The Four Tops Greatest Hits,Four Tops,12,39
Headquarters,The Monkees,12,40
Vincebus Eruptum,Blue Cheer,12,41
Please Love Me Forever,Bobby Vinton,12,42
It Must Be Him,Vikki Carr,12,43
It Must Be Him,Ray Conniff,12,44
Sounds Of Silence,Simon & Garfunkel,12,45
!!Going Places!!,Herb Alpert & The Tijuana Brass,12,46
"Woman, Woman",Gary Puckett And The Union Gap,12,47
A Man And A Woman,Soundtrack,12,48
The Last Waltz,Engelbert Humperdinck,12,49
Ultimate Spinach,Ultimate,12,50
When The Snow Is On The Roses,Ed Ames,12,51
Wildflowers,Judy Collins,12,52
The Resurrection Of Pigboy Crabshaw,The Paul Butterfield Blues Band,12,53
The Notorious Byrd Brothers,The Byrds,12,54
"$1,000,000.00 Weekend",The Ventures,12,55
The Best Of Wes Montgomery,Wes Montgomery,12,56
Portraits,The Buckinghams,12,57
Vanilla Fudge,Vanilla Fudge,12,58
The Doors,The Doors,12,59
By The Time I Get To Phoenix,Glen Campbell,12,60
Groovin' With The Soulful Strings,The Soulful Strings,12,61
Their Satanic Majesties Request,The Rolling Stones,12,62
Release Me,Engelbert Humperdinck,12,63
Music From Mission: Impossible,Lalo Schifrin,12,64
After Bathing At Baxter's,Jefferson Airplane,12,65
Nobody But Me,The Human Beinz,12,66
The Sea,San Sebastian,12,67
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,12,68
"Up, Up And Away",Johnny Mathis,12,69
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",12,70
The Dock Of The Bay,Otis Redding,12,71
I Never Loved A Man The Way I Love You,Aretha Franklin,12,72
The Best Of Wilson Pickett,Wilson Pickett,12,73
Revenge,Bill Cosby,12,74
Cowboys & Colored People,FLiP,12,75
Born Free,Andy Williams,12,76
Bill Cosby Sings/Hooray For The Salvation Army Band!,Bill Cosby,12,77
A Gift From A Flower To A Garden,Donovan,12,78
More Of The Monkees,The Monkees,12,79
Francis A. & Edward K.,Frank Sinatra,12,80
Welcome To My World,Dean Martin,12,81
What Now My Love,Herb Alpert & The Tijuana Brass,12,82
"Elvis' Gold Records, Volume 4",Elvis Presley,12,83
Man Of La Mancha,Original Cast,12,84
The Sky,San Sebastian,12,85
Bob Dylan's Greatest Hits,Bob Dylan,12,86
Camelot,Original Cast Recording,12,87
Goin' To Memphis,Paul Revere & The Raiders,12,88
Otis Redding Live In Europe,Otis Redding,12,89
I'm In Love,Wilson Pickett,12,90
We're A Winner,The Impressions,12,91
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,12,92
The Time Has Come,The Chambers Brothers,12,93
The Mantovani Touch,Mantovani,12,94
The Other Man's Grass Is Always Greener,Petula Clark,12,95
Wear Your Love Like Heaven,Donovan,12,96
Look Around,Sergio Mendes,12,97
Strange Days,The Doors,12,98
Live And Lively,Joe Tex,12,99
We Can Fly,The Cowsills,12,100
Sergio Mendes & Brasil '66,Sergio Mendes,12,101
The Monkees,The Monkees,12,102
Claudine,Claudine Longet,12,103
The Mamas & The Papas Deliver,The Mamas & The Papas,12,104
The Magic Garden,The 5th Dimension,12,105
Tell Mama,Etta James,12,106
The Who Sell Out,The Who,12,107
My Cup Runneth Over,Ed Ames,12,108
Wonderfulness,Bill Cosby,12,109
Fiddler On The Roof,Original Cast,12,110
South Of The Border,Herb Alpert & The Tijuana Brass,12,111
Green Tambourine,The Lemon Pipers,12,112
"Love, Andy",Andy Williams,12,113
The Best Of The Animals,The Animals,12,114
United,Tammi Terrell,12,115
Greatest Hits,Paul Revere & The Raiders,12,116
Fortuosity,The Mills Brothers,12,117
Fresh Cream,Cream,12,118
Aretha Arrives,Aretha Franklin,12,119
I Started Out As A Child,Bill Cosby,12,120
Two Sides Of Leonard Nimoy,Leonard Nimoy,12,121
Why Is There Air?,Bill Cosby,12,122
Super Hits,Various Artists,12,123
SRO,Herb Alpert & The Tijuana Brass,12,124
Gone With The Wind,Soundtrack,12,125
The Best Of Sonny & Cher,Sonny & Cher,12,126
Bee Gees' 1st,Bee Gees,12,127
The Eyes Of The Beacon Street Union,B,12,128
The First Edition,Kenny Rogers,12,129
I Can't Stand Myself (When You Touch Me),James Brown,12,130
Lonely Bull,Herb Alpert & The Tijuana Brass,12,131
"Bend Me, Shape Me",The American Breed,12,132
Songs Of Leonard Cohen,Leonard Cohen,12,133
Al Hirt Plays Bert Kaempfert,Al Hirt,12,134
Groovin',The Rascals,12,135
A Man And His Soul,Ray Charles,12,136
Surrealistic Pillow,Jefferson Airplane,12,137
"Up, Up And Away",The 5th Dimension,12,138
Boogie With Canned Heat,Canned Heat,12,139
John Mayall's Blues Breakers Crusade,John Mayall,12,140
Spooky,Classics IV,12,141
Here Where There Is Love,Dionne Warwick,12,142
Insight Out,The Association,12,143
We're Only In It For The Money,Mothers Of Invention,12,144
Vikki!,Vikki Carr,12,145
Heavy,Iron Butterfly,12,146
Welcome To My Love,Nancy Wilson,12,147
Everybody Needs Love,Gladys Knight And The Pips,12,148
The Everlovin' World Of Eddy Arnold,Eddy Arnold,12,149
The Drifters' Golden Hits,The Drifters,12,150
This Is My Song,Ray Conniff,12,151
Mass In F Minor,The Electric Prunes,12,152
Incense And Peppermints,Strawberry Alarm Clock,12,153
Sunday Sax,Boots Randolph,12,154
Agnes English,John Fred And The Playboys,12,155
Steppenwolf,Steppenwolf,12,156
The Windows Of The World,Dionne Warwick,12,157
Johnny's Greatest Hits,Johnny Mathis,12,158
Simply Streisand,Barbra Streisand,12,159
Four Tops Reach Out,Four Tops,12,160
With A Lot O' Soul,The Temptations,12,161
Glory Of Love,Herbie Mann,12,162
Doctor Dolittle,Soundtrack,12,163
More Than A Miracle,Roger Williams,12,164
All Mitch Ryder Hits!,Mitch Ryder And The Detroit Wheels,12,165
Pata Pata,Miriam Makeba,12,166
What The World Needs Now Is Love!,Jack Jones,12,167
King Size Soul,King Curtis,12,168
Ravi Shankar At The Monterey International Pop Festival,Ravi Shankar,12,169
To Each His Own,Frankie Laine,12,170
Greatest Hits,The Righteous Brothers,12,171
Willie Mitchell Live,Willie Mitchell,12,172
Reach Out,Burt Bacharach,12,173
Something Special! The Best Of Tommy James & The Shondells,Tommy James,12,174
Born Free,Roger Williams,12,175
The Rose Garden,The Rose Garden,12,176
Golden Hits,Roger Williams,12,177
Jerry Butler's Golden Hits Live,Jerry Butler,12,178
Up Pops Ramsey Lewis,Ramsey Lewis,12,179
Wave,Antonio Carlos Jobim,12,180
The Delta Sweete,Bobbie Gentry,12,181
Skip A Rope,Henson Cargill,12,182
There Are But Four Small Faces,Small Faces,12,183
Feelin' Good,Lou Rawls,12,184
Something Else Again,Richie Havens,12,185
For Those In Love,Percy Faith,12,186
For A Few Dollars More And Other Motion Picture Themes,L,12,187
The Happiest Millionaire,Soundtrack,12,188
"Time, Time",Ed Ames,12,189
Ode To Billie Joe,Bobbie Gentry,12,190
Somewhere My Love,Ray Conniff,12,191
Turn The World Around,Eddy Arnold,12,192
This Is Soul,Various Artists,12,193
Orpheus,Orpheus,12,194
The Look Of Love,Claudine Longet,12,195
To Sir With Love,Lulu,12,196
Rotary Connection,Rotary Connection,12,197
You Don't Have To Say You Love Me,Jerry Vale,12,198
White Light/White Heat,The Velvet Underground,12,199
Gently Swingin',Earl Grant,12,200
Blooming Hits,Paul Mauriat And His Orchestra,13,1
The Graduate,Soundtrack,13,2
Aretha: Lady Soul,Aretha Franklin,13,3
Axis: Bold As Love,The Jimi Hendrix Experience,13,4
John Wesley Harding,Bob Dylan,13,5
Magical Mystery Tour (Soundtrack),The Beatles,13,6
"Greatest Hits, Vol. 2",The Miracles,13,7
Valley Of The Dolls,Dionne Warwick,13,8
Once Upon A Dream,The Rascals,13,9
"The Lettermen!!!...And ""Live!""",The Lettermen,13,10
Valley Of The Dolls,Soundtrack,13,11
History Of Otis Redding,Otis Redding,13,12
The Dock Of The Bay,Otis Redding,13,13
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,13,14
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,13,15
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,13,16
Disraeli Gears,Cream,13,17
Horizontal,Bee Gees,13,18
Jungle Book,Soundtrack,13,19
The Beat Goes On,Vanilla Fudge,13,20
"The Good, The Bad And The Ugly",Soundtrack,13,21
Are You Experienced?,Jimi Hendrix,13,22
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,13,23
Doctor Zhivago,Soundtrack,13,24
The Sound Of Music,Soundtrack,13,25
The Temptations In A Mellow Mood,The Temptations,13,26
The Temptations Greatest Hits,The Temptations,13,27
Who Will Answer? And Other Songs Of Our Time,Ed Ames,13,28
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,13,29
A Day In The Life,Wes Montgomery,13,30
Sounds Like...,Herb Alpert & The Tijuana Brass,13,31
"Woman, Woman",Gary Puckett And The Union Gap,13,32
Camelot,Soundtrack,13,33
"Pisces, Aquarius, Capricorn, And Jones Ltd.",The Monkees,13,34
Vincebus Eruptum,Blue Cheer,13,35
The Turtles! Golden Hits,The Turtles,13,36
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,13,37
Movin' With Nancy,Nancy Sinatra,13,38
It Must Be Him,Ray Conniff,13,39
The Four Tops Greatest Hits,Four Tops,13,40
Headquarters,The Monkees,13,41
It Must Be Him,Vikki Carr,13,42
Sounds Of Silence,Simon & Garfunkel,13,43
Farewell To The First Golden Era,The Mamas & The Papas,13,44
!!Going Places!!,Herb Alpert & The Tijuana Brass,13,45
The Last Waltz,Engelbert Humperdinck,13,46
The Notorious Byrd Brothers,The Byrds,13,47
Ultimate Spinach,Ultimate,13,48
Please Love Me Forever,Bobby Vinton,13,49
Look Around,Sergio Mendes,13,50
Vanilla Fudge,Vanilla Fudge,13,51
The Resurrection Of Pigboy Crabshaw,The Paul Butterfield Blues Band,13,52
Portraits,The Buckinghams,13,53
A Man And A Woman,Soundtrack,13,54
Music From Mission: Impossible,Lalo Schifrin,13,55
The Best Of Wes Montgomery,Wes Montgomery,13,56
By The Time I Get To Phoenix,Glen Campbell,13,57
"$1,000,000.00 Weekend",The Ventures,13,58
Wildflowers,Judy Collins,13,59
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",13,60
Groovin' With The Soulful Strings,The Soulful Strings,13,61
Their Satanic Majesties Request,The Rolling Stones,13,62
The Doors,The Doors,13,63
Alice's Restaurant,Soundtrack,13,64
Nobody But Me,The Human Beinz,13,65
Release Me,Engelbert Humperdinck,13,66
The Sea,San Sebastian,13,67
Wild Honey,The Beach Boys,13,68
"Bill Cosby Is A Very Funny Fellow, Right!",Bill Cosby,13,69
I Never Loved A Man The Way I Love You,Aretha Franklin,13,70
The Mantovani Touch,Mantovani,13,71
"Elvis' Gold Records, Volume 4",Elvis Presley,13,72
After Bathing At Baxter's,Jefferson Airplane,13,73
Bill Cosby Sings/Hooray For The Salvation Army Band!,Bill Cosby,13,74
The Best Of Wilson Pickett,Wilson Pickett,13,75
Born Free,Andy Williams,13,76
Goin' To Memphis,Paul Revere & The Raiders,13,77
Francis A. & Edward K.,Frank Sinatra,13,78
Revenge,Bill Cosby,13,79
When The Snow Is On The Roses,Ed Ames,13,80
We're A Winner,The Impressions,13,81
Welcome To My World,Dean Martin,13,82
The Time Has Come,The Chambers Brothers,13,83
Camelot,Original Cast Recording,13,84
Bob Dylan's Greatest Hits,Bob Dylan,13,85
Man Of La Mancha,Original Cast,13,86
Otis Redding Live In Europe,Otis Redding,13,87
Fortuosity,The Mills Brothers,13,88
We Can Fly,The Cowsills,13,89
Cowboys & Colored People,FLiP,13,90
I-Feel-Like-I'm-Fixin'-To-Die,Country Joe & The Fish,13,91
More Of The Monkees,The Monkees,13,92
The Sky,San Sebastian,13,93
Strange Days,The Doors,13,94
The Other Man's Grass Is Always Greener,Petula Clark,13,95
What Now My Love,Herb Alpert & The Tijuana Brass,13,96
Two Sides Of Leonard Nimoy,Leonard Nimoy,13,97
I'm In Love,Wilson Pickett,13,98
"Up, Up And Away",Johnny Mathis,13,99
We're Only In It For The Money,Mothers Of Invention,13,100
Claudine,Claudine Longet,13,101
I Can't Stand Myself (When You Touch Me),James Brown,13,102
Sunday Sax,Boots Randolph,13,103
Live And Lively,Joe Tex,13,104
Tell Mama,Etta James,13,105
Green Tambourine,The Lemon Pipers,13,106
The Eyes Of The Beacon Street Union,B,13,107
The Monkees,The Monkees,13,108
Wonderfulness,Bill Cosby,13,109
My Cup Runneth Over,Ed Ames,13,110
Sergio Mendes & Brasil '66,Sergio Mendes,13,111
"Love, Andy",Andy Williams,13,112
South Of The Border,Herb Alpert & The Tijuana Brass,13,113
Fiddler On The Roof,Original Cast,13,114
The Best Of The Animals,The Animals,13,115
Rotary Connection,Rotary Connection,13,116
"Bend Me, Shape Me",The American Breed,13,117
A Gift From A Flower To A Garden,Donovan,13,118
Aretha Arrives,Aretha Franklin,13,119
Fresh Cream,Cream,13,120
The Mamas & The Papas Deliver,The Mamas & The Papas,13,121
Super Hits,Various Artists,13,122
Why Is There Air?,Bill Cosby,13,123
Al Hirt Plays Bert Kaempfert,Al Hirt,13,124
Greatest Hits,Paul Revere & The Raiders,13,125
The Best Of Sonny & Cher,Sonny & Cher,13,126
Bee Gees' 1st,Bee Gees,13,127
Vikki!,Vikki Carr,13,128
Gone With The Wind,Soundtrack,13,129
Lonely Bull,Herb Alpert & The Tijuana Brass,13,130
SRO,Herb Alpert & The Tijuana Brass,13,131
The Who Sell Out,The Who,13,132
Songs Of Leonard Cohen,Leonard Cohen,13,133
Groovin',The Rascals,13,134
A Man And His Soul,Ray Charles,13,135
The First Edition,Kenny Rogers,13,136
The Magic Garden,The 5th Dimension,13,137
"Up, Up And Away",The 5th Dimension,13,138
Wear Your Love Like Heaven,Donovan,13,139
Boogie With Canned Heat,Canned Heat,13,140
Insight Out,The Association,13,141
Here Where There Is Love,Dionne Warwick,13,142
Surrealistic Pillow,Jefferson Airplane,13,143
I Started Out As A Child,Bill Cosby,13,144
Welcome To My Love,Nancy Wilson,13,145
Heavy,Iron Butterfly,13,146
John Mayall's Blues Breakers Crusade,John Mayall,13,147
The Everlovin' World Of Eddy Arnold,Eddy Arnold,13,148
The Drifters' Golden Hits,The Drifters,13,149
Mass In F Minor,The Electric Prunes,13,150
This Is My Song,Ray Conniff,13,151
Reach Out,Burt Bacharach,13,152
Incense And Peppermints,Strawberry Alarm Clock,13,153
Spooky,Classics IV,13,154
Steppenwolf,Steppenwolf,13,155
Gentle On My Mind,Glen Campbell,13,156
Johnny's Greatest Hits,Johnny Mathis,13,157
Up Pops Ramsey Lewis,Ramsey Lewis,13,158
Glory Of Love,Herbie Mann,13,159
Four Tops Reach Out,Four Tops,13,160
With A Lot O' Soul,The Temptations,13,161
Doctor Dolittle,Soundtrack,13,162
Pata Pata,Miriam Makeba,13,163
The Windows Of The World,Dionne Warwick,13,164
More Than A Miracle,Roger Williams,13,165
United,Tammi Terrell,13,166
What The World Needs Now Is Love!,Jack Jones,13,167
King Size Soul,King Curtis,13,168
To Each His Own,Frankie Laine,13,169
Simply Streisand,Barbra Streisand,13,170
Agnes English,John Fred And The Playboys,13,171
